date,skill,model,input_tokens,output_tokens,cache_read,cache_creation
2026-06-07,powerloom-bds,glm-5,29269,770,78528,0
2026-06-07,powerloom-bds,glm-5,30169,811,77632,0
2026-06-07,powerloom-bds,glm-5,31541,907,113024,0
2026-06-07,powerloom-bds,glm-5,30585,692,79936,0
2026-06-07,powerloom-bds,glm-5,30822,665,111424,0
2026-06-07,powerloom-bds,glm-5,30455,1055,79296,0
2026-06-07,powerloom-bds,glm-5,30505,608,172480,0
2026-06-07,powerloom-bds,glm-5,32294,664,114304,0
2026-06-07,powerloom-bds,glm-5,31197,610,80512,0
2026-06-07,powerloom-bds,glm-5,32351,852,114560,0
2026-06-07,powerloom-bds,glm-5,32658,656,81920,0
2026-06-07,powerloom-bds,glm-5,13617,600,100928,0
2026-06-07,powerloom-bds,glm-5,31676,761,80832,0
2026-06-07,powerloom-bds,glm-5,32571,789,114752,0
2026-06-07,powerloom-bds,glm-5,24718,491,98880,0
2026-06-07,powerloom-bds,glm-5,33891,669,116992,0
2026-06-07,powerloom-bds,glm-5,25714,513,100672,0
2026-06-07,powerloom-bds,glm-5,32708,558,147264,0
2026-06-07,powerloom-bds,glm-5,36392,749,121856,0
2026-06-07,powerloom-bds,glm-5,33775,632,83136,0
2026-06-07,powerloom-bds,glm-5,58745,716,225600,0
2026-06-07,powerloom-bds,glm-5,33777,639,83136,0
2026-06-07,powerloom-bds,glm-5,34392,750,118720,0
2026-06-07,heartbeat,claude-opus-4-8,46552,2412,379328,0
2026-06-07,powerloom-bds,glm-5,35377,959,155008,0
2026-06-07,powerloom-bds,glm-5,35128,671,84416,0
2026-06-07,powerloom-bds,glm-5,37457,735,157312,0
2026-06-07,powerloom-bds,glm-5,36686,827,122240,0
2026-06-07,powerloom-bds,glm-5,36848,827,229248,0
2026-06-07,powerloom-bds,glm-5,36864,851,86464,0
2026-06-07,powerloom-bds,glm-5,36966,953,229568,0
2026-06-07,powerloom-bds,glm-5,36175,1551,84544,0
2026-06-07,powerloom-bds,glm-5,38814,678,85888,0
2026-06-07,powerloom-bds,glm-5,39388,793,201984,0
2026-06-07,powerloom-bds,glm-5,36136,651,120640,0
2026-06-07,powerloom-bds,glm-5,37102,773,86720,0
2026-06-07,powerloom-bds,glm-5,50770,1069,244608,0
2026-06-07,powerloom-bds,glm-5,20534,815,221504,0
2026-06-07,powerloom-bds,glm-5,38891,700,88064,0
2026-06-07,powerloom-bds,glm-5,40322,746,207808,0
2026-06-07,powerloom-bds,glm-5,39713,795,127040,0
2026-06-07,powerloom-bds,glm-5,39920,887,166016,0
2026-06-07,heartbeat,claude-opus-4-8,43757,2464,272960,0
2026-06-07,powerloom-bds,glm-5,41209,987,128320,0
2026-06-07,powerloom-bds,glm-5,42636,804,129728,0
2026-06-07,powerloom-bds,glm-5,41032,612,129856,0
2026-06-07,powerloom-bds,glm-5,41193,730,131136,0
2026-06-07,powerloom-bds,glm-5,43382,664,131904,0
2026-06-07,powerloom-bds,glm-5,42147,984,166592,0
2026-06-07,powerloom-bds,glm-5,43410,656,92736,0
2026-06-07,powerloom-bds,glm-5,22432,667,109824,0
2026-06-07,powerloom-bds,glm-5,42395,807,239808,0
2026-06-07,powerloom-bds,glm-5,41951,527,91264,0
2026-06-07,powerloom-bds,glm-5,44454,898,218048,0
2026-06-07,powerloom-bds,glm-5,23833,731,154304,0
2026-06-07,powerloom-bds,glm-5,43600,784,132032,0
2026-06-07,powerloom-bds,glm-5,28119,613,128448,0
2026-06-07,powerloom-bds,glm-5,43056,719,173248,0
2026-06-07,powerloom-bds,glm-5,45719,844,138368,0
2026-06-07,powerloom-bds,glm-5,43195,654,174016,0
2026-06-07,powerloom-bds,glm-5,46029,728,95296,0
2026-06-07,heartbeat,claude-opus-4-8,45243,2595,407488,0
2026-06-07,powerloom-bds,glm-5,26691,1200,293504,0
2026-06-07,powerloom-bds,glm-5,44984,1136,138624,0
2026-06-07,powerloom-bds,glm-5,45233,799,135872,0
2026-06-07,powerloom-bds,glm-5,47278,1235,464192,0
2026-06-07,powerloom-bds,glm-5,44589,677,176896,0
2026-06-07,powerloom-bds,glm-5,45208,926,270592,0
2026-06-07,powerloom-bds,glm-5,45754,871,228800,0
2026-06-07,powerloom-bds,glm-5,48244,821,291264,0
2026-06-07,powerloom-bds,glm-5,46397,811,142528,0
2026-06-07,powerloom-bds,glm-5,74513,1025,402560,0
2026-06-07,powerloom-bds,glm-5,27506,690,158272,0
2026-06-07,powerloom-bds,glm-5,30634,1037,190144,0
2026-06-08,powerloom-bds,glm-5,25997,757,126848,0
2026-06-08,powerloom-bds,glm-5,26249,798,102464,0
2026-06-08,powerloom-bds,glm-5,49195,847,246528,0
2026-06-08,powerloom-bds,glm-5,45773,670,227968,0
2026-06-08,powerloom-bds,glm-5,25063,711,99328,0
2026-06-08,powerloom-bds,glm-5,26046,681,127552,0
2026-06-08,powerloom-bds,glm-5,23152,647,185024,0
2026-06-08,powerloom-bds,glm-5,24005,827,185600,0
2026-06-08,powerloom-bds,glm-5,24154,609,94336,0
2026-06-08,powerloom-bds,glm-5,24980,656,142848,0
2026-06-08,powerloom-bds,glm-5,25026,690,236544,0
2026-06-08,powerloom-bds,glm-5,23886,685,232128,0
2026-06-08,powerloom-bds,glm-5,26997,809,156096,0
2026-06-08,powerloom-bds,glm-5,45880,616,95104,0
2026-06-08,powerloom-bds,glm-5,47016,781,96256,0
2026-06-08,powerloom-bds,glm-5,46994,681,141696,0
2026-06-08,powerloom-bds,glm-5,47618,965,236544,0
2026-06-08,powerloom-bds,glm-5,46721,746,96000,0
2026-06-08,powerloom-bds,glm-5,47603,732,143872,0
2026-06-08,powerloom-bds,glm-5,25327,585,95424,0
2026-06-08,powerloom-bds,glm-5,25991,751,237184,0
2026-06-08,powerloom-bds,glm-5,25638,805,192000,0
2026-06-08,powerloom-bds,glm-5,25760,568,144448,0
2026-06-08,powerloom-bds,glm-5,26373,699,191680,0
2026-06-08,heartbeat,claude-opus-4-8,48533,2988,378496,0
2026-06-08,powerloom-bds,glm-5,26913,503,145280,0
2026-06-08,powerloom-bds,glm-5,48274,685,97536,0
